area,item,current_source,current_behavior,batch0_classification,batch1_required_repair
nnunet_anchor,SRR runner anchor root,scripts/training/run_srr_propref_myops_fold0.py:51-55,Default root is data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres,real_cached_anchor_not_checkpoint_inference,Bind formal config to exact fold/checkpoint/probability/prediction manifest and hash files
nnunet_anchor,anchor lookup,scripts/training/run_srr_propref_myops_fold0.py:457-470,Finds fold_*/validation/<case>.npz and <case>.nii.gz; does not infer truth from variable names,real_cached_logits_prediction,Add authority check that every train/val case has expected OOF or same-fold anchor provenance
nnunet_anchor,anchor probability load,scripts/training/run_srr_propref_myops_fold0.py:473-483,Loads probabilities array from npz; validates 6+ classes and spatial shape,already_real_and_reusable,Add SHA256 recording and fail formal run if cached anchor is missing or stale
nnunet_anchor,component features,scripts/training/run_srr_propref_myops_fold0.py:486-494,Builds scar/edema connected-component masks from cached nnU-Net hard prediction,already_real_but_anchor_derived,Record component source and prevent component metrics being promoted as independent GT
nnunet_anchor,checkpoint files,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_*/checkpoint_best.pth,Real checkpoints exist for folds but current SRR runner consumes cached validation npz/nii rather than loading them for anchor inference,real_checkpoint_not_directly_used,Implement or document checkpoint-to-cache provenance in Batch 1
prototype,ProposalDictionary default,src/care_myocardium/models/srr_propref.py:38-50,Initial positive/negative and negative-memory buffers use deterministic_axis_prototypes,deterministic_axis_prototypes_for_unfit_modules,Strict formal mode must fail unless load_prototype_bank has real train/OOF provenance
prototype,ProposalDictionary.load_prototype_bank,src/care_myocardium/models/srr_propref.py:53-58,Copies provided positive/negative tensors into scar/edema dictionaries and records source,real_but_needs_authority,Require non-deterministic source summary counts/hash before formal training
prototype,Runtime prototype fitting,scripts/training/run_srr_propref_myops_fold0.py:1505-1588,Fits selected train patches through _evidence_features and build_prototype_bank_from_labeled_features then loads banks,real_train_runtime_features_not_full_oof,Upgrade to fold-safe OOF builder with source case IDs and checkpoint/config hashes
prototype,Prototype fallback on empty vectors,src/care_myocardium/models/proposal_prototypes.py:92-101,If category vectors are absent fallback returns deterministic axis prototype,deterministic_axis_prototypes,Formal mode must reject missing positive/negative category coverage rather than fallback
prototype,SafePrototypeMemoryBank,src/care_myocardium/models/srr_dictionary_memory.py:45-102,EMA memory class exists with no-T2 edema-negative rejection,declared_but_not_in_SRRProposeRefineMyoPS_forward,Wire into model proposal path or remove memory authority
prototype,M10CrossFittedPrototypeMemory,src/care_myocardium/models/srr_dictionary_memory.py:137-258,Cross-fitted memory class exists and can query other shards,declared_but_disconnected,Connect query outputs to M10 proposal logits and loss or keep M10 D3 blocked
loss,Pattern-SIP objective,src/care_myocardium/losses/srr_losses.py:265-352,Independent gamma/KL/entropy/collapse loss over gates and metadata,real_optimized_when_weighted_and_gates_present,Add formal dependency test for M10 D2/D3 gate parameters
loss,dictionary loss,src/care_myocardium/losses/srr_losses.py:564-571,semantic_retrieval_regularization over gate metadata; zero tensor if no gates,real_optimized_for_gate_paths,Strictly fail formal if gate metadata absent or all dictionary losses zero without mask reason
loss,memory loss,src/care_myocardium/losses/srr_losses.py:433-456,Uses explicit prototype_memory_alignment_loss if output exists else scar_memory/edema_memory keys; current SRR outputs lack those memory keys,placeholder_zero_for_current_SRR_outputs,Connect memory query outputs and provenance in Batch 1
loss,proposal losses,src/care_myocardium/losses/srr_losses.py:518-525; scripts/training/run_srr_propref_myops_fold0.py:930-966,BCE/masked terms and component ranking from labels and proposal logits,real_optimized,Keep and add autograd known-bad gates for zero-detached proposals
loss,scar refiner loss,src/care_myocardium/losses/srr_losses.py:526; scripts/training/run_srr_propref_myops_fold0.py:924-928,scar_loss on final scar logits,real_optimized,Add refiner effect intervention check in formal authority
loss,edema refiner loss,src/care_myocardium/losses/srr_losses.py:527;t2_masked_edema_loss:36-49,T2-present masked edema loss,real_optimized,Add explicit no-T2 subgroup report and target-available metric split
loss,anatomy loss,src/care_myocardium/losses/srr_losses.py:63-72,Cross entropy with scar/edema remapped to myocardium anatomy,real_optimized,Keep as anatomy auxiliary not leaderboard metric
loss,bounded correction/gate loss,src/care_myocardium/losses/srr_losses.py:529-552,Anchor preservation/opportunity/arbitration/bounded delta terms if anchor/gates exist,real_optimized_for_M6_legacy_control; not final base for M9/M10,Make production final-output mode explicit and test SRR-off identity separately
loss,negative-space loss,src/care_myocardium/losses/srr_losses.py:552-562,Remote FP and no-T2 edema safety terms,real_optimized,Add real subgroup evaluator outputs and reject no-T2 FP in formal gate
checkpoint,SRR runner save/load,scripts/training/run_srr_propref_myops_fold0.py:2058-2096;2112-2133,Saves model_state_dict with args; reloads best/final for evaluation,real_within_single_run,Add optimizer/prototype/config state checkpoint continuity and reload identity
checkpoint,B3 to B4,scripts/training/route_B_round04/myops/B4/run_B4_proposal.py:76-83,B4 checks B3 token and selected_checkpoint_reload.json but creates a fresh RouteBRound03MyoPS,token_only_parent_check_reinitializes_model,Forbidden formal entrypoint
checkpoint,B4 to B5,scripts/training/route_B_round04/myops/B5/run_B5_refiner.py:78-87,B5 checks B4 token/proposal CSV but creates a fresh RouteBRound03MyoPS,token_only_parent_check_reinitializes_model,Forbidden formal entrypoint
checkpoint,B5 to B6,scripts/training/route_B_round04/myops/B6/run_B6_joint.py:188-197;207-209,B6 checks B5 token and B0 receipt but creates a fresh RouteBRound03MyoPS,token_only_parent_check_reinitializes_model,Forbidden formal entrypoint
metrics,unified evaluator,scripts/evaluation/evaluate_predictions.py:217-313,Reads prediction and GT NIfTI, resamples prediction to GT, computes Dice and optional HD/HD95,prediction_gt_recomputed,Bind production evaluator config and empty-GT semantics
metrics,SRR runner full-case metrics,scripts/training/run_srr_propref_myops_fold0.py:1362-1385,Writes predictions then collect_case_metrics from exported prediction and GT,prediction_gt_recomputed,Use one formal evaluator path shared with nnU-Net
